* Result Vertices of marching cube 
* Vertices (3 floats) are saved per line. Every three lines are a triangle.
* Author: The5_2 
* 
* Vertices: 720 
v 0.555556 0.222222 0.027471
v 0.555556 0.333333 0.0739154
v 0.666667 0.314357 0.222222
v 0.666667 0.26183 0.111111
v 0.616229 0.333333 0.111111
v 0.644518 0.333333 0.222222
v 0.666667 0.314357 0.222222
v 0.616229 0.333333 0.111111
v 0.666667 0.314357 0.222222
v 0.644518 0.333333 0.222222
v 0.666667 0.333333 0.257367
v 0.555556 0.317563 0.555556
v 0.633669 0.222222 0.555556
v 0.666667 0.222222 0.53124
v 0.555556 0.317563 0.555556
v 0.666667 0.222222 0.53124
v 0.555556 0.333333 0.544895
v 0.555556 0.333333 0.544895
v 0.666667 0.222222 0.53124
v 0.666667 0.333333 0.464029
v 0.633669 0.222222 0.555556
v 0.555556 0.317563 0.555556
v 0.555556 0.222222 0.594984
v 0.555556 0.333333 0.0739154
v 0.555556 0.374103 0.111111
v 0.616229 0.333333 0.111111
v 0.616229 0.333333 0.111111
v 0.555556 0.3971 0.222222
v 0.644518 0.333333 0.222222
v 0.555556 0.374103 0.111111
v 0.555556 0.3971 0.222222
v 0.616229 0.333333 0.111111
v 0.644518 0.333333 0.222222
v 0.666667 0.374905 0.333333
v 0.666667 0.333333 0.257367
v 0.644518 0.333333 0.222222
v 0.555556 0.3971 0.222222
v 0.666667 0.374905 0.333333
v 0.555556 0.3971 0.222222
v 0.555556 0.402238 0.333333
v 0.666667 0.374905 0.333333
v 0.555556 0.402238 0.333333
v 0.555556 0.39173 0.444444
v 0.666667 0.374905 0.333333
v 0.666667 0.374905 0.333333
v 0.555556 0.39173 0.444444
v 0.666667 0.353074 0.444444
v 0.555556 0.39173 0.444444
v 0.666667 0.333333 0.464029
v 0.666667 0.353074 0.444444
v 0.555556 0.333333 0.544895
v 0.666667 0.333333 0.464029
v 0.555556 0.39173 0.444444
v 0.666667 0.111111 0.079346
v 0.698415 0.111111 0.111111
v 0.666667 0.0762333 0.111111
v 0.666667 0.0762333 0.111111
v 0.758556 0.111111 0.222222
v 0.666667 0.0122038 0.222222
v 0.698415 0.111111 0.111111
v 0.758556 0.111111 0.222222
v 0.666667 0.0762333 0.111111
v 0.777778 0.111111 0.320504
v 0.666667 0.0122038 0.222222
v 0.758556 0.111111 0.222222
v 0.777778 0.111111 0.320504
v 0.777778 0.107921 0.333333
v 0.666667 0.0122038 0.222222
v 0.777778 0.107921 0.333333
v 0.666667 0.00861194 0.333333
v 0.666667 0.0122038 0.222222
v 0.743078 0.111111 0.444444
v 0.777778 0.107921 0.333333
v 0.777778 0.111111 0.341187
v 0.743078 0.111111 0.444444
v 0.666667 0.0245691 0.444444
v 0.777778 0.107921 0.333333
v 0.666667 0.0245691 0.444444
v 0.666667 0.00861194 0.333333
v 0.777778 0.107921 0.333333
v 0.666667 0.0245691 0.444444
v 0.743078 0.111111 0.444444
v 0.666667 0.111111 0.544929
v 0.666667 0.222222 0.091309
v 0.698415 0.111111 0.111111
v 0.666667 0.111111 0.079346
v 0.686458 0.222222 0.111111
v 0.698415 0.111111 0.111111
v 0.666667 0.222222 0.091309
v 0.698415 0.111111 0.111111
v 0.686458 0.222222 0.111111
v 0.758556 0.111111 0.222222
v 0.758556 0.111111 0.222222
v 0.686458 0.222222 0.111111
v 0.750226 0.222222 0.222222
v 0.758556 0.111111 0.222222
v 0.750226 0.222222 0.222222
v 0.777778 0.222222 0.316036
v 0.777778 0.111111 0.320504
v 0.758556 0.111111 0.222222
v 0.777778 0.222222 0.316036
v 0.733412 0.222222 0.444444
v 0.743078 0.111111 0.444444
v 0.777778 0.111111 0.341187
v 0.777778 0.222222 0.345786
v 0.733412 0.222222 0.444444
v 0.777778 0.111111 0.341187
v 0.666667 0.111111 0.544929
v 0.733412 0.222222 0.444444
v 0.666667 0.222222 0.53124
v 0.743078 0.111111 0.444444
v 0.733412 0.222222 0.444444
v 0.666667 0.111111 0.544929
v 0.666667 0.222222 0.091309
v 0.666667 0.26183 0.111111
v 0.686458 0.222222 0.111111
v 0.686458 0.222222 0.111111
v 0.666667 0.314357 0.222222
v 0.750226 0.222222 0.222222
v 0.666667 0.26183 0.111111
v 0.666667 0.314357 0.222222
v 0.686458 0.222222 0.111111
v 0.666667 0.333333 0.257367
v 0.709813 0.333333 0.333333
v 0.777778 0.231086 0.333333
v 0.666667 0.314357 0.222222
v 0.666667 0.333333 0.257367
v 0.777778 0.231086 0.333333
v 0.666667 0.314357 0.222222
v 0.777778 0.231086 0.333333
v 0.777778 0.222222 0.316036
v 0.666667 0.314357 0.222222
v 0.777778 0.222222 0.316036
v 0.750226 0.222222 0.222222
v 0.777778 0.222222 0.345786
v 0.777778 0.231086 0.333333
v 0.709813 0.333333 0.333333
v 0.777778 0.222222 0.345786
v 0.709813 0.333333 0.333333
v 0.733412 0.222222 0.444444
v 0.733412 0.222222 0.444444
v 0.709813 0.333333 0.333333
v 0.681719 0.333333 0.444444
v 0.666667 0.222222 0.53124
v 0.681719 0.333333 0.444444
v 0.666667 0.333333 0.464029
v 0.733412 0.222222 0.444444
v 0.681719 0.333333 0.444444
v 0.666667 0.222222 0.53124
v 0.666667 0.333333 0.257367
v 0.666667 0.374905 0.333333
v 0.709813 0.333333 0.333333
v 0.709813 0.333333 0.333333
v 0.666667 0.353074 0.444444
v 0.681719 0.333333 0.444444
v 0.666667 0.374905 0.333333
v 0.666667 0.353074 0.444444
v 0.709813 0.333333 0.333333
v 0.681719 0.333333 0.444444
v 0.666667 0.353074 0.444444
v 0.666667 0.333333 0.464029
v 0.777778 0.111111 0.320504
v 0.781778 0.111111 0.333333
v 0.777778 0.107921 0.333333
v 0.777778 0.107921 0.333333
v 0.781778 0.111111 0.333333
v 0.777778 0.111111 0.341187
v 0.777778 0.222222 0.316036
v 0.781778 0.111111 0.333333
v 0.777778 0.111111 0.320504
v 0.825195 0.222222 0.333333
v 0.781778 0.111111 0.333333
v 0.777778 0.222222 0.316036
v 0.777778 0.111111 0.341187
v 0.825195 0.222222 0.333333
v 0.777778 0.222222 0.345786
v 0.781778 0.111111 0.333333
v 0.825195 0.222222 0.333333
v 0.777778 0.111111 0.341187
v 0.825195 0.222222 0.333333
v 0.777778 0.222222 0.316036
v 0.777778 0.231086 0.333333
v 0.888889 0.261337 0.333333
v 0.869277 0.333333 0.333333
v 0.888889 0.333333 0.313927
